SERVICE,1TWKD,,,,,,,,
LINE,BCC,,,,,,,,
DIRECTION,Research Drive,,,,,,,,
OPEN DATE,20160806,,,,,,,,
CLOSE DATE,20170806,,,,,,,,
RTENAME,GoDurham - Duke / VA Hospitals-Rearch Drive-Golden Belt,,,,,,,,
,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,,,,,
TPNAME,,Main St at Golden Belt,Main St at Iredell St,Research Dr at Circuit Dr,,,,,
STOPID,,6383,6390,6670,,,,,
,,,,,,,,,
RUNS,,,,,,,,,
,,,,,,,,,
1,WEST,630,644,653,,,,,
2,WEST,647,701,710,,,,,
3,WEST,704,718,727,,,,,
4,WEST,721,735,744,,,,,
5,WEST,738,752,801,,,,,
6,WEST,755,809,818,,,,,
7,WEST,812,826,835,,,,,
8,WEST,829,843,852,,,,,
9,WEST,846,900,909,,,,,
10,WEST,903,917,926,,,,,
11,WEST,920,934,943,,,,,
12,WEST,937,951,1000,,,,,
13,WEST,954,1008,1017,,,,,
14,WEST,1011,1025,1034,,,,,
15,WEST,1028,1042,1051,,,,,
16,WEST,1045,1059,1108,,,,,
17,WEST,1102,1116,1125,,,,,
18,WEST,1119,1133,1142,,,,,
19,WEST,1136,1150,1159,,,,,
20,WEST,1153,1207,1216,,,,,
21,WEST,1210,1224,1233,,,,,
22,WEST,1227,1241,1250,,,,,
23,WEST,1244,1258,1307,,,,,
24,WEST,1301,1315,1324,,,,,
25,WEST,1318,1332,1341,,,,,
26,WEST,1335,1349,1358,,,,,
27,WEST,1352,1406,1415,,,,,
28,WEST,1409,1423,1432,,,,,
29,WEST,1426,1440,1449,,,,,
30,WEST,1443,1457,1506,,,,,
31,WEST,1500,1514,1523,,,,,
32,WEST,1517,1531,1540,,,,,
33,WEST,1534,1548,1557,,,,,
34,WEST,1551,1605,1614,,,,,
35,WEST,1608,1622,1631,,,,,
36,WEST,1625,1639,1648,,,,,
37,WEST,1642,1656,1705,,,,,
38,WEST,1659,1713,1722,,,,,
39,WEST,1716,1730,1739,,,,,
40,WEST,1733,1747,1756,,,,,
41,WEST,1750,1804,1813,,,,,
42,WEST,1807,1819,1828,,,,,
43,WEST,1822,1834,1843,,,,,
44,WEST,1837,1849,1858,,,,,
45,WEST,1852,1904,1913,,,,,
46,WEST,1907,1919,1928,,,,,
47,WEST,1922,1934,1943,,,,,
48,WEST,1937,1949,1958,,,,,
49,WEST,1952,2004,2013,,,,,
50,WEST,2007,2019,2028,,,,,
51,WEST,2022,2034,2043,,,,,
52,WEST,2037,2049,2058,,,,,
53,WEST,2052,2104,2113,,,,,
54,WEST,2107,2119,2128,,,,,
