SERVICE,"3TSUN, 4TRSA",,,,,
LINE,11,,,,,
DIRECTION,Duke / VA Hospitals,,,,,
OPEN DATE,20160806,,,,,
CLOSE DATE,20170806,,,,,
RTENAME,GoDurham - Duke/VA Hospitals-Hillsborough Rd-Sparger Rd,,,,,
,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME
TPNAME,,Durham Station ,Broad St at Markham Ave,Fulton St at VA Hospital,Hillsborough Rd at Neal Rd,Sparger Rd at Food Lion
STOPID,,5774,5801,5228,5292,5625
,,,,,,
RUNS,,,,,,
,,,,,,
1,OUTBOUND,700,708,714,721,726
2,OUTBOUND,800,808,814,821,826
3,OUTBOUND,900,908,914,921,926
4,OUTBOUND,1000,1008,1014,1021,1026
5,OUTBOUND,1100,1108,1114,1121,1126
6,OUTBOUND,1200,1208,1214,1221,1226
7,OUTBOUND,1300,1308,1314,1321,1326
8,OUTBOUND,1400,1408,1414,1421,1426
9,OUTBOUND,1500,1508,1514,1521,1526
10,OUTBOUND,1600,1608,1614,1621,1626
11,OUTBOUND,1700,1708,1714,1721,1726
12,OUTBOUND,1800,1808,1814,1821,1826
13,OUTBOUND,1900,1908,1914,1921,1926
14,OUTBOUND,2000,2008,2014,2021,2026
15,OUTBOUND,2100,2108,2114,2121,2126
