SERVICE,1TWKD,,,
LINE,12B,,,
DIRECTION,South Alston Ave,,,
OPEN DATE,20160806,,,
CLOSE DATE,20170806,,,
RTENAME,GoDurham - NC 55-NCCU-NC 54,,,
,,,,
TRIP,PATTERN,TIME,TIME,TIME
TPNAME,,Durham Station ,Alston Ave at Cecil St (NCCU),NC 54 at S Alston Ave (Eastbound)
STOPID,,5774,5512,6274
,,,,
RUNS,,,,
,,,,
1,OUTBOUND,630,638,652
2,OUTBOUND,730,738,752
3,OUTBOUND,830,838,852
4,OUTBOUND,930,938,952
5,OUTBOUND,1030,1038,1052
6,OUTBOUND,1130,1138,1152
7,OUTBOUND,1230,1238,1252
8,OUTBOUND,1330,1338,1352
9,OUTBOUND,1430,1438,1452
10,OUTBOUND,1530,1538,1552
11,OUTBOUND,1630,1638,1652
12,OUTBOUND,1730,1738,1752
13,OUTBOUND,1830,1838,1852
