SERVICE,2TSAT,,,,,,,,,,
LINE,14,,,,,,,,,,
DIRECTION,NC 54 at S Alston Ave,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,
RTENAME,GoDurham - Fayetteville St-Woodcroft Pkwy-Southpoint Mall-Route 12,,,,,,,,,,
,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,,,,
TPNAME,,Streets at Southpoint (Cinemas),NC 751 at NC 54,NC 55 at Sedwick Dr (EB),NC 54 at S Alston Ave (Westbound),,,,,,
STOPID,,5956,6578,6583,1871,,,,,,
,,,,,,,,,,,
RUNS,,,,,,,,,,,
,,,,,,,,,,,
1,EAST,507,,519,528,,,,,,
2,EAST,600,,619,628,,,,,,
3,EAST,700,,719,728,,,,,,
4,EAST,800,,819,828,,,,,,
5,EAST,900,,919,928,,,,,,
6,EAST,1000,,1019,1028,,,,,,
7,EAST,1100,,1119,1128,,,,,,
8,EAST,1200,,1219,1228,,,,,,
9,EAST,1300,,1319,1328,,,,,,
10,EAST,1400,,1419,1428,,,,,,
11,EAST,1500,,1519,1528,,,,,,
12,EAST,1600,,1619,1628,,,,,,
13,EAST,1700,,1719,1728,,,,,,
14,EAST,1800,,1819,1828,,,,,,
15,EAST PM,1933,1938,1952,2000,,,,,,
16,EAST PM,2033,2038,2052,2100,,,,,,
17,EAST PM,2133,2138,2152,2200,,,,,,
18,EAST PM,2233,2238,2252,2300,,,,,,
19,EAST PM,2333,2338,2352,2400,,,,,,
