SERVICE,1TWKD,,,,,,,,,,
LINE,20,,,,,,,,,,
DIRECTION,Hope Valley Commons,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,
RTENAME,GoDurham - Hope Valley Commons-South Square-Duke,,,,,,,,,,
,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME,,,,,
TPNAME,,Cameron Blvd at Science Dr,Erwin Rd at Duke Hospital,Flowers Dr at Duke Garden (Inbound),University Dr at Westgate Dr (SB),Hope Valley Commons Park-and-Ride,,,,,
STOPID,,6687,6012,5848,5133,6579,,,,,
,,,,,,,,,,,
RUNS,,,,,,,,,,,
,,,,,,,,,,,
1,OUTBOUND,638,645,648,700,715,,,,,
2,OUTBOUND,708,715,718,730,745,,,,,
3,OUTBOUND,738,745,748,800,815,,,,,
4,OUTBOUND,808,815,818,830,845,,,,,
5,OUTBOUND,838,845,848,900,915,,,,,
6,OUTBOUND,908,915,918,930,945,,,,,
7,GARDENS,938,945,948,,,,,,,
8,OUTBOUND,1503,1510,1513,1525,1540,,,,,
9,OUTBOUND,1533,1540,1543,1555,1610,,,,,
10,OUTBOUND,1603,1610,1613,1625,1640,,,,,
11,OUTBOUND,1633,1640,1643,1655,1710,,,,,
12,OUTBOUND,1703,1710,1713,1725,1740,,,,,
13,OUTBOUND,1733,1740,1743,1755,1810,,,,,
14,OUTBOUND,1803,1810,1813,1825,1840,,,,,
15,OUTBOUND,1833,1840,1843,1855,1910,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
