SERVICE,"3TSUN, 4TRSA",,,,,,,,,,
LINE,23,,,,,,,,,,
DIRECTION,NC 98 Loop,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,
RTENAME,GoDurham - The Village-NC 98 Loop-East Durham Loop,,,,,,,,,,
,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,,,,,,
TPNAME,,Raynor St at The Village,Rummel St at Hwy 98,Freeman St at Clayton Rd,Raynor St at The Village,,,,,,
STOPID,,5445,5134,5233,5445,,,,,,
,,,,,,,,,,,
RUNS,,,,,,,,,,,
,,,,,,,,,,,
1,NC 98 LOOP,,618,628,640,,,,,,
2,NC 98 LOOP,713,718,728,740,,,,,,
3,NC 98 LOOP,813,818,828,840,,,,,,
4,NC 98 LOOP,913,918,928,940,,,,,,
5,NC 98 LOOP,1013,1018,1028,1040,,,,,,
6,NC 98 LOOP,1113,1118,1128,1140,,,,,,
7,NC 98 LOOP,1213,1218,1228,1240,,,,,,
8,NC 98 LOOP,1313,1318,1328,1340,,,,,,
9,NC 98 LOOP,1413,1418,1428,1440,,,,,,
10,NC 98 LOOP,1513,1518,1528,1540,,,,,,
11,NC 98 LOOP,1613,1618,1628,1640,,,,,,
12,NC 98 LOOP,1713,1718,1728,1740,,,,,,
13,NC 98 LOOP,1813,1818,1828,1840,,,,,,
14,NC 98 LOOP,1913,1918,1928,1940,,,,,,
15,NC 98 LOOP,2013,2018,2028,2040,,,,,,
16,NC 98 LOOP,2113,2118,2128,2140,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
