SERVICE,2TSAT,,,,
LINE,2A,,,,
DIRECTION,Durham Station,,,,
OPEN DATE,20160806,,,,
CLOSE DATE,20170806,,,,
RTENAME,GoDurham - East Durham-Angier Ave-The Village,,,,
,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME
TPNAME,,Page Rd at Angier Ave,Angier Ave at Guthrie Ave,Durham Station ,
STOPID,,5724,5310,5774,
,,,,,
RUNS,,,,,
,,,,,
1,INBOUND,530,541,555,
2,INBOUND,630,641,655,
3,INBOUND,730,741,755,
4,INBOUND,830,841,855,
5,INBOUND,930,941,955,
6,INBOUND,1030,1041,1055,
7,INBOUND,1130,1141,1155,
8,INBOUND,1230,1241,1255,
9,INBOUND,1330,1341,1355,
10,INBOUND,1430,1441,1455,
11,INBOUND,1530,1541,1555,
12,INBOUND,1630,1641,1655,
13,INBOUND,1730,1741,1755,
14,INBOUND,1830,1841,1855,
