SERVICE,3TSUN,,,,,,,,
LINE,3T,,,,,,,,
DIRECTION,The Village,,,,,,,,
OPEN DATE,20160806,,,,,,,,
CLOSE DATE,20170806,,,,,,,,
RTENAME,GoDurham - The Village-Glenview Station-NC 98,,,,,,,,
,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,,,,,
TPNAME,,Durham Station ,Raynor St at The Village,Walmart at Glenview Station Stop 1,,,,,
STOPID,,5774,6489,6291,,,,,
,,,,,,,,,
RUNS,,,,,,,,,
,,,,,,,,,
1,OUTBOUND,1300,1313,1326,,,,,
2,OUTBOUND,1400,1413,1426,,,,,
3,OUTBOUND,1500,1513,1526,,,,,
4,OUTBOUND,1600,1613,1626,,,,,
5,OUTBOUND,1700,1713,1726,,,,,
6,OUTBOUND,1800,1813,1826,,,,,
7,OUTBOUND,1900,1913,1926,,,,,
