SERVICE,2TSAT,,,,,,
LINE,5K,,,,,,
DIRECTION,Durham Station,,,,,,
OPEN DATE,20160806,,,,,,
CLOSE DATE,20170806,,,,,,
RTENAME,GoDurham - Fayetteville St-NCCU-Stratford Lakes Dr,,,,,,
,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,,,
TPNAME,,Stratford Lakes Dr at Fayetteville ,Fayetteville St at Lawson St (NCCU),Durham Station ,,,
STOPID,,6646,6023,5774,,,
,,,,,,,
RUNS,,,,,,,
,,,,,,,
1,INBOUND,647,658,710,,,
2,INBOUND,717,728,740,,,
3,INBOUND,747,758,810,,,
4,INBOUND,817,828,840,,,
5,INBOUND,847,858,910,,,
6,INBOUND,917,928,940,,,
7,INBOUND,947,958,1010,,,
8,INBOUND,1017,1028,1040,,,
9,INBOUND,1047,1058,1110,,,
10,INBOUND,1117,1128,1140,,,
11,INBOUND,1147,1158,1210,,,
12,INBOUND,1217,1228,1240,,,
13,INBOUND,1247,1258,1310,,,
14,INBOUND,1317,1328,1340,,,
15,INBOUND,1347,1358,1410,,,
16,INBOUND,1417,1428,1440,,,
17,INBOUND,1447,1458,1510,,,
18,INBOUND,1517,1528,1540,,,
19,INBOUND,1547,1558,1610,,,
20,INBOUND,1617,1628,1640,,,
21,INBOUND,1647,1658,1710,,,
22,INBOUND,1717,1728,1740,,,
