SERVICE,1TWKD,,,,,,,,,
LINE,9A,,,,,,,,,
DIRECTION,Guess Road,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,
RTENAME,GoDurham - Dearborn Dr-North Durham,,,,,,,,,
,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME,,,,
TPNAME,,Durham Station ,Foushee St at Avondale Dr,Meriwether Dr at Pickwick Tr,New Castle Rd at Wyldewood Rd,Horton Rd at Guess Rd,,,,
STOPID,,5774,5596,5499,6603,6203,,,,
,,,,,,,,,,
RUNS,,,,,,,,,,
,,,,,,,,,,
1,OUTBOUND,600,613,625,641,653,,,,
2,OUTBOUND,700,713,725,741,753,,,,
3,OUTBOUND,800,813,825,841,853,,,,
4,OUTBOUND,900,913,925,941,953,,,,
5,OUTBOUND,1000,1013,1025,1041,1053,,,,
6,OUTBOUND,1100,1113,1125,1141,1153,,,,
7,OUTBOUND,1200,1213,1225,1241,1253,,,,
8,OUTBOUND,1300,1313,1325,1341,1353,,,,
9,OUTBOUND,1400,1413,1425,1441,1453,,,,
10,OUTBOUND,1500,1513,1525,1541,1553,,,,
11,OUTBOUND,1600,1613,1625,1641,1653,,,,
12,OUTBOUND,1700,1713,1725,1741,1753,,,,
13,OUTBOUND,1800,1813,1825,1841,1853,,,,
