SERVICE,2TSAT,,,,,,,,,,,
LINE,9B,,,,,,,,,,,
DIRECTION,Durham Station,,,,,,,,,,,
OPEN DATE,20160806,,,,,,,,,,,
CLOSE DATE,20170806,,,,,,,,,,,
RTENAME,GoDurham - Dearborn Dr-North Durham,,,,,,,,,,,
,,,,,,,,,,,,
TRIP,PATTERN,TIME,TIME,TIME,TIME,TIME,,,,,,
TPNAME,,Tom Wilkinson Rd at Northern High School,Seven Oaks Rd at Riverview Shopping,Meriwether Dr at Pickwick Tr,Foushee St at Avondale Dr,Durham Station ,,,,,,
STOPID,,5407,5127,5436,5209,5774,,,,,,
,,,,,,,,,,,,
RUNS,,,,,,,,,,,,
,,,,,,,,,,,,
1,INBOUND,532,542,553,607,625,,,,,,
2,INBOUND,632,642,653,707,725,,,,,,
3,INBOUND,732,742,753,807,825,,,,,,
4,INBOUND,832,842,853,907,925,,,,,,
5,INBOUND,932,942,953,1007,1025,,,,,,
6,INBOUND,1032,1042,1053,1107,1125,,,,,,
7,INBOUND,1132,1142,1153,1207,1225,,,,,,
8,INBOUND,1232,1242,1253,1307,1325,,,,,,
9,INBOUND,1332,1342,1353,1407,1425,,,,,,
10,INBOUND,1432,1442,1453,1507,1525,,,,,,
11,INBOUND,1532,1542,1553,1607,1625,,,,,,
12,INBOUND,1632,1642,1653,1707,1725,,,,,,
13,INBOUND,1732,1742,1753,1807,1825,,,,,,
,,,,,,,,,,,,
